dictionary_name,noise_sigma,gain_name,stable_closed_loop,ultimate_radius_estimate,mean_tail_radius,max_tail_radius
linear,0.0,mild,True,0.1380688179647116,0.08454066544686428,0.13806925269909834
linear,0.0,medium,True,0.12501875664561438,0.07560658510865582,0.12501881623494643
linear,0.0,aggressive,True,0.11306858083373258,0.06782798336886761,0.113068658479279
linear,0.01,mild,True,0.13785608503098293,0.0844634898997785,0.13785659678798082
linear,0.01,medium,True,0.1247877747787755,0.07550238655692249,0.12478783426731777
linear,0.01,aggressive,True,0.11280262155132753,0.06767874996996627,0.1128027038165679
linear,0.03,mild,True,0.1354549225218337,0.08316459686671543,0.1354560015453718
linear,0.03,medium,True,0.12252051409773575,0.07421188685091705,0.12252059220630326
linear,0.03,aggressive,True,0.11050897656117827,0.0662894898214564,0.11050909374679926
linear,0.05,mild,True,0.13520814392627054,0.08339958212163125,0.1352092058097575
linear,0.05,medium,True,0.1220491400493165,0.07412451465239905,0.12204918555880628
linear,0.05,aggressive,True,0.1095176588986513,0.06567654325350264,0.10951785762040597
linear_with_constant,0.0,mild,True,0.10890689502507377,0.08037225220438034,0.1089072640845479
linear_with_constant,0.0,medium,True,0.10279633581991672,0.07219396074728027,0.10279641365437042
linear_with_constant,0.0,aggressive,True,0.09588368403727611,0.06513641630927036,0.09588375701246486
linear_with_constant,0.01,mild,True,0.10770474118702644,0.08000050472314192,0.1077052075469044
linear_with_constant,0.01,medium,True,0.10182876299036449,0.07184898513361507,0.10182883562529471
linear_with_constant,0.01,aggressive,True,0.09505848250495134,0.06481280858996644,0.09505855919523319
linear_with_constant,0.03,mild,True,0.10527204840502111,0.07843183454476385,0.10527291665080532
linear_with_constant,0.03,medium,True,0.0995434218366846,0.07034938519790843,0.09954351580751145
linear_with_constant,0.03,aggressive,True,0.09286268060704875,0.06337861005775734,0.09286277451620685
linear_with_constant,0.05,mild,True,0.1096253818886621,0.08105874306462481,0.10962594164987498
linear_with_constant,0.05,medium,True,0.10296424482209633,0.07231774924317597,0.10296430238162811
linear_with_constant,0.05,aggressive,True,0.09496362953522677,0.06433016913265585,0.09496379382699831
quadratic_full,0.0,mild,True,1.4535220486207993e-05,1.9302565946293373e-06,1.636312677421099e-05
quadratic_full,0.0,medium,True,1.643315762679488e-06,2.9006609723157683e-07,1.670412102869084e-06
quadratic_full,0.0,aggressive,True,1.8137596491935272e-07,5.08474569032061e-08,1.8144832595688323e-07
quadratic_full,0.01,mild,True,0.0019156514556754808,0.0009691648964195642,0.0019157101311152842
quadratic_full,0.01,medium,True,0.0016552676402211337,0.0008425627908620744,0.0016552730123870448
quadratic_full,0.01,aggressive,True,0.0014454199432447274,0.000745604140258808,0.0014454345462962441
quadratic_full,0.03,mild,True,0.015065991620315815,0.008556405333204696,0.015066034810316709
quadratic_full,0.03,medium,True,0.013372258312722447,0.0075531041892238585,0.01337226939247854
quadratic_full,0.03,aggressive,True,0.012016795745497433,0.006790864715961692,0.012016813117288737
quadratic_full,0.05,mild,True,0.03096968802235161,0.01874739341297893,0.030969986445824306
quadratic_full,0.05,medium,True,0.027235531807980846,0.016487290777689123,0.02723553585484085
quadratic_full,0.05,aggressive,True,0.02399167642677142,0.014502030400634674,0.023991709352037836
reduced_quadratic_no_cross,0.0,mild,True,0.04254481714286618,0.02466127840200683,0.042545703825588935
reduced_quadratic_no_cross,0.0,medium,True,0.03856268054999524,0.022241668944308672,0.03856271636174348
reduced_quadratic_no_cross,0.0,aggressive,True,0.03555350390396552,0.0205231668017808,0.03555352128679566
reduced_quadratic_no_cross,0.01,mild,True,0.04153719260138942,0.02393328194178037,0.04153812612878563
reduced_quadratic_no_cross,0.01,medium,True,0.03760504786870238,0.02157391820173166,0.03760508631348972
reduced_quadratic_no_cross,0.01,aggressive,True,0.034636382307114875,0.01990517448341951,0.03463639928651542
reduced_quadratic_no_cross,0.03,mild,True,0.04343485532871888,0.024977708172339325,0.04343585600964994
reduced_quadratic_no_cross,0.03,medium,True,0.03911631914652023,0.02235030800365273,0.039116377740964395
reduced_quadratic_no_cross,0.03,aggressive,True,0.03581248315183369,0.020533763855697128,0.035812499591081015
reduced_quadratic_no_cross,0.05,mild,True,0.060671477951773724,0.03591269072961444,0.06067239951049831
reduced_quadratic_no_cross,0.05,medium,True,0.054731392169939934,0.03204689215488747,0.05473150797020304
reduced_quadratic_no_cross,0.05,aggressive,True,0.05006665891621634,0.029358979078356166,0.050066685294440576
reduced_cross_only,0.0,mild,True,0.06968519641564035,0.05056831990380212,0.06968537264318597
reduced_cross_only,0.0,medium,True,0.062453025899003624,0.045126816139117336,0.06245303356727802
reduced_cross_only,0.0,aggressive,True,0.057668063039097,0.0405655959082465,0.057668063445368144
reduced_cross_only,0.01,mild,True,0.06887110187611258,0.04988017643023835,0.06887128251867292
reduced_cross_only,0.01,medium,True,0.06161485564032268,0.04454934819592453,0.06161486332451162
reduced_cross_only,0.01,aggressive,True,0.056781344256452086,0.040121323013780325,0.05678134430029703
reduced_cross_only,0.03,mild,True,0.06268376861955946,0.046429236083200945,0.06268405583972338
reduced_cross_only,0.03,medium,True,0.05652668819689262,0.04121960127250791,0.05652669493163581
reduced_cross_only,0.03,aggressive,True,0.05267507735656002,0.036570410162799306,0.05267507820778816
reduced_cross_only,0.05,mild,True,0.055846147809142974,0.04139056606195091,0.05584670401595752
reduced_cross_only,0.05,medium,True,0.0503195794367734,0.03661762482121496,0.050319590313745256
reduced_cross_only,0.05,aggressive,True,0.046977314716849634,0.03215936172249696,0.046977318596298265
