example,basis,theta,epsilon,mean_residual_norm,max_residual_norm,q95_residual_norm,true_ultimate_radius_estimate,identified_ultimate_radius_estimate,mean_final_radius,ultimate_radius_estimate,is_hurwitz
linear_damped,linear,x1 + x2,5.4672143489065705e-16,8.69230830707501e-17,1.2947314098277875e-15,5.4672143489065705e-16,0.0027252155591133086,0.002725215559113262,2.270543749061557e-07,7.0528074087629796e-06,True
linear_damped,quadratic,x1 + x2 + x1^2 + x2^2 + x1*x2,4.47545209131181e-16,9.536142726751769e-17,1.3506446028928519e-15,4.47545209131181e-16,0.0027252155591133086,0.0027252155591132804,2.270543749080292e-07,7.052807408771056e-06,True
linear_damped,quadratic_with_constant,1 + x1 + x2 + x1^2 + x2^2 + x1*x2,2.0014830212433605e-16,5.016795381134203e-17,1.3506446028928519e-15,2.0014830212433605e-16,0.0027252155591133086,0.002725215559113281,2.2705437491199868e-07,7.0528074087899525e-06,True
quadratic_oscillator,linear,x1 + x2,0.20492804257750977,0.03734432371923233,0.4401307124059821,0.20492804257750977,0.24850543912066436,0.254799858724671,0.09784622231999092,0.12741506957531923,True
quadratic_oscillator,quadratic,x1 + x2 + x1^2 + x2^2 + x1*x2,9.442575902687382e-16,2.860731008832556e-16,1.897149936107019e-15,9.442575902687382e-16,0.24850543912066436,0.24850543912066464,0.0020038517668259344,0.012542546615503209,True
quadratic_oscillator,quadratic_with_constant,1 + x1 + x2 + x1^2 + x2^2 + x1*x2,8.671119018262734e-16,3.710226981903644e-16,1.88411095042053e-15,8.671119018262734e-16,0.24850543912066436,0.24850543912066325,0.0020038517668259314,0.012542546615503192,True
van_der_pol,linear,x1 + x2,2.510692288668966,1.1152112496992994,3.0382760296428604,2.510692288668966,2.829507959274808,1.72677953306975,2.5595346289648315,2.8124821723972033,False
van_der_pol,quadratic,x1 + x2 + x1^2 + x2^2 + x1*x2,2.5064789044151596,1.1149498181550572,3.058322844157807,2.5064789044151596,2.829507959274808,1.7426741481628731,2.5567344826005374,2.8072724875171873,False
van_der_pol,quadratic_with_constant,1 + x1 + x2 + x1^2 + x2^2 + x1*x2,2.5073315983788884,1.114945160346908,3.062630984735275,2.5073315983788884,2.829507959274808,1.741089358620938,2.55730206965544,2.8083183773737477,False
cross_coupled,linear,x1 + x2,0.2962957884991179,0.045480765034251934,1.672916477433547,0.2962957884991179,0.0033648318165492384,0.009897383884271098,0.08955016500154063,0.09764772221485948,True
cross_coupled,quadratic,x1 + x2 + x1^2 + x2^2 + x1*x2,9.036560719766055e-16,1.386333863834255e-16,3.0927234722497852e-15,9.036560719766055e-16,0.0033648318165492384,0.003364831816549257,6.810131365682803e-10,7.797502090879429e-08,True
cross_coupled,quadratic_with_constant,1 + x1 + x2 + x1^2 + x2^2 + x1*x2,4.965068306494546e-16,1.6090893963953958e-16,1.7342238036525468e-15,4.965068306494546e-16,0.0033648318165492384,0.003364831816549154,6.81013129821894e-10,7.797502092220242e-08,True
saturated,linear,x1 + x2,0.02741482264028332,0.005658272565945421,0.15419125001272138,0.02741482264028332,0.0026800383291297604,0.0025632443097429796,0.010312723111996075,0.011856654331068427,True
saturated,quadratic,x1 + x2 + x1^2 + x2^2 + x1*x2,0.02610825845937879,0.005526321182046689,0.13133039858576812,0.02610825845937879,0.0026800383291297604,0.0025572165060799854,0.009821237728172784,0.011291592250443745,True
saturated,quadratic_with_constant,1 + x1 + x2 + x1^2 + x2^2 + x1*x2,0.026196379759327253,0.0058390807986783,0.13067332891238004,0.026196379759327253,0.0026800383291297604,0.003215846777639526,0.009854386033828213,0.01132970314623312,True
